Time(s),CH1(V)
3.550000000000001e-07,11.3726
3.5600000000000006e-07,11.5382
3.5700000000000003e-07,11.3726
3.58e-07,11.5382
3.590000000000001e-07,11.3726
3.6000000000000005e-07,11.4968
3.61e-07,11.414
3.620000000000001e-07,11.4968
3.6300000000000006e-07,11.3726
3.6400000000000003e-07,11.4968
3.65e-07,11.3726
3.660000000000001e-07,11.4968
3.6700000000000004e-07,11.4968
3.68e-07,11.3726
3.690000000000001e-07,11.4968
3.7000000000000006e-07,11.3726
3.7100000000000003e-07,11.3726
3.72e-07,11.4968
3.7300000000000007e-07,11.3726
3.7400000000000004e-07,11.4968
3.75e-07,11.4968
3.760000000000001e-07,11.3726
3.7700000000000005e-07,11.3726
3.78e-07,11.4968
3.790000000000001e-07,11.3726
3.8000000000000007e-07,11.4968
3.8100000000000004e-07,11.3726
3.82e-07,11.4968
3.830000000000001e-07,11.3726
3.8400000000000005e-07,11.4968
3.85e-07,11.3726
3.860000000000001e-07,11.4968
3.8700000000000006e-07,11.4968
3.8800000000000003e-07,11.3726
3.89e-07,11.3726
3.900000000000001e-07,11.5382
3.9100000000000005e-07,11.3726
3.92e-07,11.4968
3.930000000000001e-07,11.4968
3.9400000000000006e-07,11.3726
3.9500000000000003e-07,11.3726
3.96e-07,11.4968
3.970000000000001e-07,11.3726
3.9800000000000004e-07,11.5382
3.99e-07,11.4968
4.000000000000001e-07,11.3726
4.0100000000000006e-07,11.4968
4.02e-07,11.3726
4.03e-07,11.4968
4.0400000000000007e-07,11.3726
4.0500000000000004e-07,11.4968
4.06e-07,11.3726
4.070000000000001e-07,11.4968
4.0800000000000005e-07,11.3726
4.09e-07,11.4968
